地铁站	地鐵站	di4tie3zhan4	dìtiězhàn	subway station
点头	點頭	dian3tou2	diǎntóu	to nod
店	店	dian4	diàn	inn; old-style hotel; (bound form) shop; store
掉	掉	diao4	diào	to fall; to drop; to lag behind
东北	東北	dong1bei3	dōngběi	northeast
东方	東方	dong1fang1	dōngfāng	east
东南	東南	dong1nan2	dōngnán	southeast
冬天	冬天	dong1tian1	dōngtiān	winter
懂	懂	dong3	dǒng	to understand; to comprehend
懂得	懂得	dong3de5	dǒngde	to understand; to know; to comprehend
动物	動物	dong4wu4	dòngwù	animal
动物园	動物園	dong4wu4yuan2	dòngwùyuán	zoo
读音	讀音	du2yin1	dúyīn	pronunciation; literary (rather than colloquial) pronunciation of a Chinese character
度	度	du4	dù	to pass; to spend (time); measure
短	短	duan3	duǎn	short; brief; to lack
短信	短信	duan3xin4	duǎnxìn	text message; SMS
段	段	duan4	duàn	paragraph; section; segment
队	隊	dui4	duì	squadron; team; group
队长	隊長	dui4zhang3	duìzhǎng	captain; team leader
对话	對話	dui4hua4	duìhuà	to talk (with sb); dialogue; conversation
对面	對面	dui4mian4	duìmiàn	(sitting) opposite; across (the street); directly in front
多久	多久	duo1jiu3	duōjiǔ	(of time) how long?; (not) a long time
多么	多麼	duo1me5	duōme	how (wonderful etc); what (a great idea etc); however (difficult it may be etc)
多数	多數	duo1shu4	duōshù	majority; most
多云	多雲	duo1yun2	duōyún	cloudy (meteorology)
而且	而且	er2qie3	érqiě	(not only ...) but also; moreover; in addition
发	發	fa1	fā	to send out; to show (one's feeling); to issue
发现	發現	fa1xian4	fāxiàn	to notice; to become aware of; to discover; to find; to detect; a discovery
饭馆	飯館	fan4guan3	fànguǎn	restaurant
方便	方便	fang1bian4	fāngbiàn	convenient; suitable; to facilitate
方便面	方便麵	fang1bian4mian4	fāngbiànmiàn	instant noodles
方法	方法	fang1fa3	fāngfǎ	method; way; means
方面	方面	fang1mian4	fāngmiàn	respect; aspect; field
方向	方向	fang1xiang4	fāngxiàng	direction; orientation
放下	放下	fang4xia4	fàngxià	to lay down; to put down; to let go of
放心	放心	fang4xin1	fàngxīn	to feel relieved; to feel reassured; to be at ease
分开	分開	fen1kai1	fēnkāi	to separate; to part
分数	分數	fen1shu4	fēnshù	(exam) grade; mark; score
分钟	分鐘	fen1zhong1	fēnzhōng	minute
份	份	fen4	fèn	classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分
封	封	feng1	fēng	to confer; to grant; to bestow a title
服务	服務	fu2wu4	fúwù	to serve; service
复习	復習	fu4xi2	fùxí	to review; revision
该	該	gai1	gāi	should; ought to; probably
改	改	gai3	gǎi	to change; to alter; to transform
改变	改變	gai3bian4	gǎibiàn	to change; to alter; to transform
干杯	乾杯	gan1bei1	gānbēi	to drink a toast; Cheers! (proposing a toast); Here's to you!
感到	感到	gan3dao4	gǎndào	to feel; to sense; to perceive
感动	感動	gan3dong4	gǎndòng	to move (sb); to touch (sb emotionally); moving
感觉	感覺	gan3jue2	gǎnjué	feeling; impression; sensation; to feel; to perceive
感谢	感謝	gan3xie4	gǎnxiè	(express) thanks; gratitude; grateful
干活儿	幹活兒	gan4huo2r5	gànhuór	erhua variant of 干活; (coll.) to work; (coll.) to be employed
刚	剛	gang1	gāng	hard; firm; strong
刚才	剛才	gang1cai2	gāngcái	just now; a moment ago
刚刚	剛剛	gang1gang5	gānggang	just recently; just a moment ago
高级	高級	gao1ji2	gāojí	high level; high grade; advanced
高中	高中	gao1zhong1	gāozhōng	senior high school; abbr. for 高级中学
个子	個子	ge4zi5	gèzi	height; stature; build
更	更	geng4	gèng	more; even more; further
公共汽车	公共汽車	gong1gong4qi4che1	gōnggòngqìchē	bus
