挨着	挨著	ai1zhe5	āizhe	near
误	誤	wu4	wù	mistake; error; to miss
西班牙语	西班牙語	Xi1ban1ya2yu3	Xībānyáyǔ	Spanish language
吸毒	吸毒	xi1du2	xīdú	to take drugs
牺牲	犧牲	xi1sheng1	xīshēng	to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice
洗衣粉	洗衣粉	xi3yi1fen3	xǐyīfěn	laundry detergent; washing powder
戏曲	戲曲	xi4qu3	xìqǔ	Chinese opera
细胞	細胞	xi4bao1	xìbāo	cell (biology)
细菌	細菌	xi4jun1	xìjūn	bacterium; germ
先锋	先鋒	xian1feng1	xiānfēng	vanguard; pioneer; avant-garde
嫌	嫌	xian2	xián	to dislike; suspicion; resentment
显出	顯出	xian3chu1	xiǎnchū	to express; to exhibit
险	險	xian3	xiǎn	danger; dangerous; rugged
线路	線路	xian4lu4	xiànlù	(electricity) line; circuit; wire; (traffic) road; track; route
陷入	陷入	xian4ru4	xiànrù	to sink into; to get caught up in; to land in (a predicament)
响声	響聲	xiang3sheng1	xiǎngshēng	noise
想不到	想不到	xiang3bu5dao4	xiǎngbudào	unexpected; hard to imagine; it had not occurred to me
消耗	消耗	xiao1hao4	xiāohào	to use up; to consume
消灭	消滅	xiao1mie4	xiāomiè	to put an end to; to annihilate; to cause to perish
小费	小費	xiao3fei4	xiǎofèi	tip; gratuity
小麦	小麥	xiao3mai4	xiǎomài	wheat
小于	小於	xiao3yu2	xiǎoyú	less than, <
晓得	曉得	xiao3de5	xiǎode	to know
笑脸	笑臉	xiao4lian3	xiàoliǎn	smiling face; smiley :) ☺
笑容	笑容	xiao4rong2	xiàoróng	smile; smiling expression
笑声	笑聲	xiao4sheng1	xiàoshēng	laughter
协会	協會	xie2hui4	xiéhuì	an association; a society
协商	協商	xie2shang1	xiéshāng	to consult with; to talk things over; agreement
协调	協調	xie2tiao2	xiétiáo	to coordinate; to harmonize; to fit together
协助	協助	xie2zhu4	xiézhù	to provide assistance; to aid
写字楼	寫字樓	xie3zi4lou2	xiězìlóu	office building
写字台	寫字檯	xie3zi4tai2	xiězìtái	writing desk
心灵	心靈	xin1ling2	xīnlíng	bright; smart; quick-witted
心愿	心願	xin1yuan4	xīnyuàn	cherished desire; dream; craving
心脏	心臟	xin1zang4	xīnzàng	heart
心脏病	心臟病	xin1zang4bing4	xīnzàngbìng	heart disease
新人	新人	xin1ren2	xīnrén	newcomer; fresh talent; newlywed, esp. new bride
新兴	新興	xin1xing1	xīnxīng	(of markets, industries, infectious diseases etc) rising; emerging; in the ascendant
薪水	薪水	xin1shui3	xīnshuǐ	salary; wage
信仰	信仰	xin4yang3	xìnyǎng	to believe in (a religion); firm belief; conviction
信用	信用	xin4yong4	xìnyòng	trustworthiness; (commerce) credit; (literary) to trust and appoint
兴旺	興旺	xing1wang4	xīngwàng	prosperous; thriving; to prosper
行程	行程	xing2cheng2	xíngchéng	journey; course of a journey; distance traveled
形	形	xing2	xíng	to appear; to look; form
凶	凶	xiong1	xiōng	vicious; fierce; ominous
凶手	兇手	xiong1shou3	xiōngshǒu	murderer; assassin
修车	修車	xiu1che1	xiūchē	to repair a bike (car etc)
袖珍	袖珍	xiu4zhen1	xiùzhēn	pocket-sized; pocket (book etc)
悬	懸	xuan2	xuán	to hang or suspend; to worry; public announcement
旋转	旋轉	xuan2zhuan3	xuánzhuǎn	to rotate; to revolve; to spin
选拔	選拔	xuan3ba2	xuǎnbá	to select the best
选举	選舉	xuan3ju3	xuǎnjǔ	to elect; election
学会	學會	xue2hui4	xuéhuì	to learn; to master; institute
学员	學員	xue2yuan2	xuéyuán	student; member of an institution of learning; officer cadet
血管	血管	xue4guan3	xuèguǎn	vein; artery
血液	血液	xue4ye4	xuèyè	blood
循环	循環	xun2huan2	xúnhuán	to cycle; to circulate; circle
压迫	壓迫	ya1po4	yāpò	to oppress; to repress; to constrict
烟花	煙花	yan1hua1	yānhuā	fireworks; prostitute (esp. in Yuan theater)
沿	沿	yan2	yán	along; to follow (a line, tradition etc); to carry on
沿海	沿海	yan2hai3	yánhǎi	coastal
沿着	沿著	yan2zhe5	yánzhe	to go along; to follow
研发	研發	yan2fa1	yánfā	research and development; to develop
眼看	眼看	yan3kan4	yǎnkàn	soon; in a moment; to look on as sth happens
演奏	演奏	yan3zou4	yǎnzòu	to perform on a musical instrument
宴会	宴會	yan4hui4	yànhuì	banquet; feast; dinner party
洋	洋	yang2	yáng	ocean; vast; foreign
仰	仰	yang3	yǎng	to face upward; to look up; to admire
养老	養老	yang3lao3	yǎnglǎo	to provide for the elderly (family members); to enjoy a life in retirement
氧气	氧氣	yang3qi4	yǎngqì	oxygen
样	樣	yang4	yàng	manner; pattern; way
药品	藥品	yao4pin3	yàopǐn	medicaments; medicine; drug
要不然	要不然	yao4bu4ran2	yàobùrán	otherwise; or else; or
要好	要好	yao4hao3	yàohǎo	to be on good terms; to be close friends; striving for self-improvement
要么	要麼	yao4me5	yàome	or; either one or the other
要素	要素	yao4su4	yàosù	essential factor; key constituent
野	野	ye3	yě	field; plain; open space
野生	野生	ye3sheng1	yěshēng	wild; undomesticated
医药	醫藥	yi1yao4	yīyào	medical care and medicines; medicine (drug); medical
依次	依次	yi1ci4	yīcì	in order; in succession
依赖	依賴	yi1lai4	yīlài	to depend on; to be dependent on
一次性	一次性	yi1ci4xing4	yīcìxìng	one-off (offer); one-time; single-use
一代	一代	yi1dai4	yīdài	generation
一道	一道	yi1dao4	yīdào	together
一贯	一貫	yi1guan4	yīguàn	consistent; constant; from start to finish
一路上	一路上	yi1lu4shang4	yīlùshàng	along the way; the whole way; (fig.) the whole time
仪器	儀器	yi2qi4	yíqì	instrument; apparatus
仪式	儀式	yi2shi4	yíshì	ceremony
遗憾	遺憾	yi2han4	yíhàn	regret; to regret; to be sorry that
一番	一番	yi4fan1	yìfān	Some
一模一样	一模一樣	yi1mu2yi1yang4	yīmúyīyàng	exactly the same (idiom); carbon copy; also pr. [yī mó yī yàng]
一齐	一齊	yi1qi2	yīqí	at the same time; simultaneously
一时	一時	yi1shi2	yīshí	a period of time; a while; for a short while
一同	一同	yi1tong2	yītóng	together
一行	一行	yi1xing2	yīxíng	party; delegation
艺人	藝人	yi4ren2	yìrén	performing artist; actor
议题	議題	yi4ti2	yìtí	topic of discussion; topic; subject
异常	異常	yi4chang2	yìcháng	unusual; abnormal; extremely; exceptionally
意想不到	意想不到	yi4xiang3bu4dao4	yìxiǎngbùdào	unexpected; previously unimagined
意愿	意願	yi4yuan4	yìyuàn	aspiration; wish (for); desire
因	因	yin1	yīn	cause; reason; because
因素	因素	yin1su4	yīnsù	element; factor
阴谋	陰謀	yin1mou2	yīnmóu	to conspire; to plot; a conspiracy; a plot
阴影	陰影	yin1ying3	yīnyǐng	(lit. and fig.) shadow
音量	音量	yin1liang4	yīnliàng	loudness; volume
音像	音像	yin1xiang4	yīnxiàng	audio and video; audiovisual
隐藏	隱藏	yin3cang2	yǐncáng	to hide; to conceal; to mask
隐私	隱私	yin3si1	yǐnsī	secrets; private business; privacy
印	印	yin4	yìn	to print; to mark; to engrave
英雄	英雄	ying1xiong2	yīngxióng	hero
迎来	迎來	ying2lai2	yínglái	to welcome (a visitor or newcomer); (fig.) to usher in
影迷	影迷	ying3mi2	yǐngmí	film enthusiast; movie fan
影星	影星	ying3xing1	yǐngxīng	film star
应对	應對	ying4dui4	yìngduì	to answer; to reply; to handle; to deal with; response
应急	應急	ying4ji2	yìngjí	to respond to an emergency; to meet a contingency; (attributive) emergency
用处	用處	yong4chu5	yòngchu	usefulness
用得着	用得著	yong4de5zhao2	yòngdezháo	to be able to use; useable; to have a use for; (in a question) to be necessary to
用法	用法	yong4fa3	yòngfǎ	usage
用品	用品	yong4pin3	yòngpǐn	articles for use; products; goods
用心	用心	yong4xin1	yòngxīn	motive; intention; to be diligent or attentive
优质	優質	you1zhi4	yōuzhì	excellent quality
游人	遊人	you2ren2	yóurén	a tourist
游玩	遊玩	you2wan2	yóuwán	to amuse oneself; to have fun; to go sightseeing
游戏机	遊戲機	you2xi4ji1	yóuxìjī	video game machine; video game console
游行	遊行	you2xing2	yóuxíng	to march; to parade; to demonstrate; procession; march; demonstration; to travel around; to roam
有关	有關	you3guan1	yǒuguān	to have sth to do with; to relate to; related to
有没有	有沒有	you3mei2you3	yǒuméiyǒu	(before a noun) Do (you, they etc) have ...?; Is there a ...?; (before a verb) Did (you, they etc) (verb, infinitive)?
有事	有事	you3shi4	yǒushì	to be occupied with sth; to have sth on one's mind; there is something the matter
于	於	yu2	yú	(of time or place) in; at; on; (indicating any indirect relation) to; toward; vis-à-vis; with regard to; for; (indicating a source) from; out of
娱乐	娛樂	yu2le4	yúlè	to entertain; to amuse; entertainment
愉快	愉快	yu2kuai4	yúkuài	cheerful; cheerily; delightful
与	與	yu3	yǔ	and; to give; together with
宇航员	宇航員	yu3hang2yuan2	yǔhángyuán	astronaut
雨衣	雨衣	yu3yi1	yǔyī	raincoat
预约	預約	yu4yue1	yùyuē	booking; reservation; to book
元素	元素	yuan2su4	yuánsù	element (key component of sth); (chemistry) element; (math.) element (member of a set)
园	園	yuan2	yuán	land used for growing plants; site used for public recreation; abbr. for a place ending in 园, such as a botanical garden 植物园, kindergarten 幼儿园 etc
园地	園地	yuan2di4	yuándì	garden area
原	原	yuan2	yuán	former; original; primary
原告	原告	yuan2gao4	yuángào	complainant; plaintiff
原谅	原諒	yuan2liang4	yuánliàng	to excuse; to forgive; to pardon
圆珠笔	圓珠筆	yuan2zhu1bi3	yuánzhūbǐ	ballpoint pen
援助	援助	yuan2zhu4	yuánzhù	to help; to support; to aid
缘故	緣故	yuan2gu4	yuángù	reason; cause
远方	遠方	yuan3fang1	yuǎnfāng	far away; a distant location
远离	遠離	yuan3li2	yuǎnlí	to be far from; to keep away from
远远	遠遠	yuan3yuan3	yuǎnyuǎn	distant; by far
约定	約定	yue1ding4	yuēdìng	to agree on sth (after discussion); to conclude a bargain; to arrange
乐曲	樂曲	yue4qu3	yuèqǔ	musical composition
晕	暈	yun1	yūn	confused; dizzy; giddy
允许	允許	yun3xu3	yǔnxǔ	to permit; to allow
运作	運作	yun4zuo4	yùnzuò	to operate; operations; workings
晕车	暈車	yun4che1	yùnchē	to be carsick
杂	雜	za2	zá	mixed; miscellaneous; various
再生	再生	zai4sheng1	zàishēng	to be reborn; to regenerate; to be a second so-and-so (famous dead person)
再说	再說	zai4shuo1	zàishuō	to say again; to put off a discussion until later; moreover
遭到	遭到	zao1dao4	zāodào	to suffer; to meet with (sth unfortunate)
遭受	遭受	zao1shou4	zāoshòu	to suffer; to sustain (loss, misfortune)
遭遇	遭遇	zao1yu4	zāoyù	to meet with; to encounter; (bitter) experience
早晚	早晚	zao3wan3	zǎowǎn	morning and evening; (dialect) some time in the future; some day
增进	增進	zeng1jin4	zēngjìn	to promote; to enhance; to further
增值	增值	zeng1zhi2	zēngzhí	to appreciate (financially); to increase in value; value-added (accountancy)
扎	紮	za1	zā	to tie; to bind; classifier for flowers, banknotes etc: bundle
扎实	扎實	zha1shi5	zhāshi	strong; solid; sturdy
炸	炸	zha4	zhà	to burst; to explode; to blow up
炸弹	炸彈	zha4dan4	zhàdàn	bomb
炸药	炸藥	zha4yao4	zhàyào	explosive (material)
债	債	zhai4	zhài	debt
占据	佔據	zhan4ju4	zhànjù	to occupy; to hold
战场	戰場	zhan4chang3	zhànchǎng	battlefield
战略	戰略	zhan4lüe4	zhànlüè	strategy
战术	戰術	zhan4shu4	zhànshù	tactics
战友	戰友	zhan4you3	zhànyǒu	comrade-in-arms; battle companion
站台	站臺	zhan4tai2	zhàntái	platform (at a railway station); (Tw) (of an influential person) to publicly lend one's support (e.g. for an election candidate); (Tw) website
章	章	zhang1	zhāng	chapter; section; clause
掌声	掌聲	zhang3sheng1	zhǎngshēng	applause
账	賬	zhang4	zhàng	account; bill; debt
账户	賬戶	zhang4hu4	zhànghù	bank account; online account
障碍	障礙	zhang4ai4	zhàngài	barrier; obstruction; hindrance
招	招	zhao1	zhāo	to recruit; to provoke; to beckon
招聘	招聘	zhao1pin4	zhāopìn	to invite applications for a job; to recruit
照样	照樣	zhao4yang4	zhàoyàng	as before; (same) as usual; in the same manner
照耀	照耀	zhao4yao4	zhàoyào	to shine; to illuminate
哲学	哲學	zhe2xue2	zhéxué	philosophy
这就是说	這就是說	zhe4jiu4shi4shuo1	zhèjiùshìshuō	in other words; that is to say
镇	鎮	zhen4	zhèn	to press down; to calm; to subdue
争夺	爭奪	zheng1duo2	zhēngduó	to fight over; to contest; to vie over
整顿	整頓	zheng3dun4	zhěngdùn	to tidy up; to reorganize; to consolidate
整治	整治	zheng3zhi4	zhěngzhì	to bring under control; to regulate; to restore to good condition
正当	正當	zheng4dang4	zhèngdàng	honest; reasonable; fair
政策	政策	zheng4ce4	zhèngcè	policy
政党	政黨	zheng4dang3	zhèngdǎng	political party
政权	政權	zheng4quan2	zhèngquán	regime; political power
症状	症狀	zheng4zhuang4	zhèngzhuàng	symptom (of an illness)
之类	之類	zhi1lei4	zhīlèi	and so on; and such
支撑	支撐	zhi1cheng1	zhīchēng	to prop up; to support; strut
支援	支援	zhi1yuan2	zhīyuán	to provide assistance; to support; to back
枝	枝	zhi1	zhī	branch; classifier for sticks, rods, pencils etc
知名	知名	zhi1ming2	zhīmíng	well-known; famous
织	織	zhi1	zhī	to weave
直升机	直升機	zhi2sheng1ji1	zhíshēngjī	helicopter
职责	職責	zhi2ze2	zhízé	duty; responsibility; obligation
止	止	zhi3	zhǐ	to stop; to prohibit; until
只得	只得	zhi3de2	zhǐdé	to have no alternative but to; to be obliged to
只顾	只顧	zhi3gu4	zhǐgù	solely preoccupied (with one thing); engrossed; focusing (on sth)
只管	只管	zhi3guan3	zhǐguǎn	solely engrossed in one thing; just (one thing, no need to worry about the rest); simply
指定	指定	zhi3ding4	zhǐdìng	to appoint; to assign; to indicate clearly and with certainty
指数	指數	zhi3shu4	zhǐshù	(numerical, statistical) index; (math.) exponent; index
指头	指頭	zhi3tou5	zhǐtou	finger; toe
指着	指著	zhi3zhe5	zhǐzhe	Poke
至于	至於	zhi4yu2	zhìyú	as for; as to; to go so far as to
治病	治病	zhi4bing4	zhìbìng	to treat an illness
智慧	智慧	zhi4hui4	zhìhuì	wisdom; knowledge; intelligent
中等	中等	zhong1deng3	zhōngděng	medium
中华	中華	Zhong1hua2	Zhōnghuá	China (alternate formal name)
中期	中期	zhong1qi1	zhōngqī	middle (of a period of time); medium-term (plan, forecast etc)
中外	中外	zhong1wai4	zhōngwài	Sino-foreign; Chinese-foreign; home and abroad
忠心	忠心	zhong1xin1	zhōngxīn	good faith; devotion; loyalty
钟头	鐘頭	zhong1tou2	zhōngtóu	hour
肿	腫	zhong3	zhǒng	to swell; swelling; swollen
种种	種種	zhong3zhong3	zhǒngzhǒng	all kinds of
粥	粥	zhou1	zhōu	congee; gruel; porridge
珠宝	珠寶	zhu1bao3	zhūbǎo	pearls; jewels; precious stones
诸位	諸位	zhu1wei4	zhūwèi	(pron) everyone; Ladies and Gentlemen; Sirs
主持人	主持人	zhu3chi2ren2	zhǔchírén	TV or radio presenter; host; anchor
主角	主角	zhu3jue2	zhǔjué	leading role; lead; protagonist
主流	主流	zhu3liu2	zhǔliú	main stream (of a river); fig. the essential point; main viewpoint of a matter
煮	煮	zhu3	zhǔ	to cook; to boil
住宅	住宅	zhu4zhai2	zhùzhái	residence; dwelling; abode
驻	駐	zhu4	zhù	to halt; to stay; to be stationed (of troops, diplomats etc)
柱子	柱子	zhu4zi5	zhùzi	pillar
祝愿	祝願	zhu4yuan4	zhùyuàn	to wish
专用	專用	zhuan1yong4	zhuānyòng	special; dedicated
赚	賺	zhuan4	zhuàn	to earn; to make a profit
赚钱	賺錢	zhuan4qian2	zhuànqián	to earn money; moneymaking
装备	裝備	zhuang1bei4	zhuāngbèi	equipment; to equip; to outfit
壮观	壯觀	zhuang4guan1	zhuàngguān	spectacular; magnificent sight
追究	追究	zhui1jiu1	zhuījiū	to investigate; to look into
捉	捉	zhuo1	zhuō	to clutch; to grab; to capture
咨询	咨詢	zi1xun2	zīxún	to consult; to seek advice; consultation
自来水	自來水	zi4lai2shui3	zìláishuǐ	running water; tap water
自我	自我	zi4wo3	zìwǒ	self-; ego (psychology)
自学	自學	zi4xue2	zìxué	self-study; to study on one's own
自言自语	自言自語	zi4yan2zi4yu3	zìyánzìyǔ	to talk to oneself; to think aloud; to soliloquize
自在	自在	zi4zai5	zìzai	comfortable; at ease
宗教	宗教	zong1jiao4	zōngjiào	religion
总部	總部	zong3bu4	zǒngbù	general headquarters
总监	總監	zong3jian1	zǒngjiān	head; director (of an organizational unit); (police) commissioner
总经理	總經理	zong3jing1li3	zǒngjīnglǐ	general manager; CEO
总量	總量	zong3liang4	zǒngliàng	total; overall amount
走私	走私	zou3si1	zǒusī	to smuggle; to have an illicit affair
奏	奏	zou4	zòu	to play music; to achieve; to present a memorial to the emperor (old)
租金	租金	zu1jin1	zūjīn	rent
足	足	zu2	zú	foot; to be sufficient; ample
足以	足以	zu2yi3	zúyǐ	sufficient to...; so much so that; so that
族	族	zu2	zú	ethnic group; clan; nationality; (suffix) social group (e.g. 上班族)
祖父	祖父	zu3fu4	zǔfù	father's father; paternal grandfather
祖国	祖國	zu3guo2	zǔguó	motherland
祖母	祖母	zu3mu3	zǔmǔ	father's mother; paternal grandmother
钻	鑽	zuan1	zuān	to drill; to bore; to get into
最佳	最佳	zui4jia1	zuìjiā	optimum; optimal; peak
最终	最終	zui4zhong1	zuìzhōng	final; ultimate
罪	罪	zui4	zuì	guilt; crime; fault
罪恶	罪惡	zui4e4	zuìè	crime; evil; sin
作	作	zuo4	zuò	to do; to engage in; to write; to compose; to pretend; to feign
作废	作廢	zuo4fei4	zuòfèi	to become invalid; to cancel; to delete
作战	作戰	zuo4zhan4	zuòzhàn	combat; to fight
座谈会	座談會	zuo4tan2hui4	zuòtánhuì	conference; symposium; rap session
