挨着	挨著	ai1zhe5	āizhe	near
城镇	城鎮	cheng2zhen4	chéngzhèn	town; cities and towns
持有	持有	chi2you3	chíyǒu	to hold (passport, views etc)
冲击	衝擊	chong1ji1	chōngjī	to attack; to batter; (of waves) to pound against
重建	重建	chong2jian4	chóngjiàn	to rebuild; to reestablish; reconstruction
重组	重組	chong2zu3	chóngzǔ	to reorganize; to recombine; to restructure
崇拜	崇拜	chong2bai4	chóngbài	to worship; adoration
宠物	寵物	chong3wu4	chǒngwù	house pet
出场	出場	chu1chang3	chūchǎng	(of a performer) to come onto the stage to perform; (of an athlete) to enter the arena to compete; (fig.) to enter the scene (e.g. a new product)
出动	出動	chu1dong4	chūdòng	to start out on a trip; to dispatch troops
出访	出訪	chu1fang3	chūfǎng	to go and visit in an official capacity or for investigation
出路	出路	chu1lu4	chūlù	a way out (lit. and fig.); opportunity for advancement; a way forward
出面	出面	chu1mian4	chūmiàn	to appear personally; to step in; to step forth
出名	出名	chu1ming2	chūmíng	well-known for sth; to become well known; to make one's mark
出入	出入	chu1ru4	chūrù	to go out and come in; entrance and exit; expenditure and income
出事	出事	chu1shi4	chūshì	to have an accident; to meet with a mishap
出台	出臺	chu1tai2	chūtái	to officially launch (a policy, program etc); to appear on stage; to appear publicly
出行	出行	chu1xing2	chūxíng	to go out somewhere (relatively short trip); to set off on a journey (longer trip)
初等	初等	chu1deng3	chūděng	elementary (i.e. easy)
除	除	chu2	chú	to get rid of; to remove; to exclude
厨师	廚師	chu2shi1	chúshī	cook; chef
储存	儲存	chu3cun2	chǔcún	stockpile; to store; to stockpile
处处	處處	chu4chu4	chùchù	everywhere; in all respects
处长	處長	chu4zhang3	chùzhǎng	department head; section chief
传出	傳出	chuan2chu1	chuánchū	to transmit outwards; to disseminate; efferent (nerve)
传媒	傳媒	chuan2mei2	chuánméi	media
传输	傳輸	chuan2shu1	chuánshū	to transmit; transmission
传言	傳言	chuan2yan2	chuányán	rumor; hearsay
船员	船員	chuan2yuan2	chuányuán	sailor; crew member
船长	船長	chuan2zhang3	chuánzhǎng	captain (of a boat); skipper
船只	船隻	chuan2zhi1	chuánzhī	ship; boat; vessel
串	串	chuan4	chuàn	to string together; to skewer; to connect wrongly
窗口	窗口	chuang1kou3	chuāngkǒu	window; opening providing restricted access (e.g. customer service window); computer operating system window
创办	創辦	chuang4ban4	chuàngbàn	to establish; to found; to launch
创建	創建	chuang4jian4	chuàngjiàn	to found; to establish
创意	創意	chuang4yi4	chuàngyì	creative; creativity
此处	此處	ci3chu4	cǐchù	this place; here (literary)
此次	此次	ci3ci4	cǐcì	this time
此前	此前	ci3qian2	cǐqián	before this; before then; previously
此事	此事	ci3shi4	cǐshì	this matter
此致	此致	ci3zhi4	cǐzhì	(used at the end of a letter to introduce a polite salutation)
次数	次數	ci4shu4	cìshù	number of times; frequency; order number (in a series)
从不	從不	cong2bu4	cóngbù	never
从没	從沒	cong2mei2	cóngméi	never (in the past); never did
醋	醋	cu4	cù	vinegar; jealousy (in love rivalry)
村庄	村莊	cun1zhuang1	cūnzhuāng	village; hamlet
错过	錯過	cuo4guo4	cuòguò	to miss (train, opportunity etc)
搭	搭	da1	dā	to put up; to build (scaffolding); to hang (clothes on a pole)
搭档	搭檔	da1dang4	dādàng	to cooperate; partner
搭配	搭配	da1pei4	dāpèi	to pair up; to match; to arrange in pairs
打动	打動	da3dong4	dǎdòng	to move (to pity); arousing (sympathy); touching
打断	打斷	da3duan4	dǎduàn	to interrupt; to break off; to break (a bone)
打发	打發	da3fa5	dǎfa	to dispatch sb to do sth; to make sb leave; to pass (the time)
打官司	打官司	da3guan1si5	dǎguānsi	to file a lawsuit; to sue; to dispute
打牌	打牌	da3pai2	dǎpái	to play mahjong or cards
打印机	打印機	da3yin4ji1	dǎyìnjī	printer
打造	打造	da3zao4	dǎzào	to create; to build; to develop
大道	大道	da4dao4	dàdào	main street; avenue
大街	大街	da4jie1	dàjiē	street; main street
大力	大力	da4li4	dàlì	energetically; vigorously
大米	大米	da4mi3	dàmǐ	(husked) rice
大批	大批	da4pi1	dàpī	large quantities of
大赛	大賽	da4sai4	dàsài	grand contest
大师	大師	da4shi1	dàshī	great master; master
大使	大使	da4shi3	dàshǐ	ambassador; envoy
待会儿	待會兒	dai1hui4r5	dāihuìr	in a moment; later; also pr. [dāi huǐ r] or [dāi hui r]
担忧	擔憂	dan1you1	dānyōu	to worry; to be concerned
单打	單打	dan1da3	dāndǎ	singles (in sports)
诞生	誕生	dan4sheng1	dànshēng	to be born
党	黨	dang3	dǎng	party; association; club
当成	當成	dang4cheng2	dàngchéng	to consider as; to take to be
当天	當天	dang1tian1	dāngtiān	on that day
当作	當作	dang4zuo4	dàngzuò	to treat as; to regard as
档	檔	dang4	dàng	official records; grade (of goods); file
档案	檔案	dang4an4	dàngàn	file; record; archive
岛	島	dao3	dǎo	island
到期	到期	dao4qi1	dàoqī	to fall due (loan etc); to expire (visa etc); to mature (investment bond etc)
盗版	盜版	dao4ban3	dàobǎn	pirated; illegal; see also 版
道教	道教	Dao4jiao4	Dàojiào	Taoism; Daoism (Chinese system of beliefs)
道歉	道歉	dao4qian4	dàoqiàn	to apologize
低头	低頭	di1tou2	dītóu	to bow the head; to yield; to give in
低温	低溫	di1wen1	dīwēn	low temperature
滴	滴	di1	dī	a drop; to drip
抵达	抵達	di3da2	dǐdá	to arrive; to reach (a destination)
抵抗	抵抗	di3kang4	dǐkàng	to resist; resistance
地板	地板	di4ban3	dìbǎn	floor
地名	地名	di4ming2	dìmíng	place name; toponym
地下室	地下室	di4xia4shi4	dìxiàshì	basement; cellar
电车	電車	dian4che1	diànchē	trolleybus
电动	電動	dian4dong4	diàndòng	electric-powered; (Tw) video game
电力	電力	dian4li4	diànlì	electrical power; electricity
电器	電器	dian4qi4	diànqì	(electrical) appliance; device
吊	弔	diao4	diào	a string of 100 cash (arch.); to lament; to condole with
调研	調研	diao4yan2	diàoyán	to investigate and research; research; investigation
跌	跌	die1	diē	to fall; to tumble; to trip
定价	定價	ding4jia4	dìngjià	to set a price; to fix a price
定时	定時	ding4shi2	dìngshí	to fix a time; fixed time; timed (of explosive etc)
定位	定位	ding4wei4	dìngwèi	to orientate; to position; to categorize (as)
动画	動畫	dong4hua4	dònghuà	animation; cartoon
斗争	鬥爭	dou4zheng1	dòuzhēng	a struggle; fight; battle
都市	都市	du1shi4	dūshì	city; metropolis
毒品	毒品	du2pin3	dúpǐn	drugs; narcotics; poison
赌	賭	du3	dǔ	to bet; to gamble
赌博	賭博	du3bo2	dǔbó	to gamble
渡	渡	du4	dù	to cross; to pass through; to ferry
端	端	duan1	duān	end; extremity; item
端午节	端午節	Duan1wu3jie2	Duānwǔjié	Dragon Boat Festival (5th day of the 5th lunar month)
短片	短片	duan3pian4	duǎnpiàn	short film; video clip
队伍	隊伍	dui4wu3	duìwǔ	ranks; troops; queue
对抗	對抗	dui4kang4	duìkàng	to withstand; to resist; to stand off
对外	對外	dui4wai4	duìwài	external; foreign; pertaining to external or foreign (affairs)
蹲	蹲	dun1	dūn	to crouch; to squat; to stay (somewhere)
多半	多半	duo1ban4	duōbàn	most; mostly; most likely
多方面	多方面	duo1fang1mian4	duōfāngmiàn	many-sided; in many aspects
多媒体	多媒體	duo1mei2ti3	duōméitǐ	multimedia
夺	奪	duo2	duó	to seize; to take away forcibly; to wrest control of
